errorCode,count
VNFC_DOWN,65065
PORT_DOWN,34788
PROMETHEUS_DOWN,12199
SWITCH_PORT_DOWN,11441
CRC_ERROR,6665
NODE_NTP_FAILED,6445
SERVER_RESPONSE_ERROR_RATE_EXCCEED,4160
FILEMANAGER_EXPORTER_COLLECT_ERROR,3798
DASHBOARD_BE_EXPORTER_COLLECT_ERROR,3779
NODE_NETWORK_INTERFACE_DOWN,3594
NODE_DOWN,3366
SYSTEM_CPU_USAGE_EXCCEED,3360
NODE_LOW_MEMORY_AVAILABLE,2794
NODE_HIGH_LOAD_AVERAGE,1719
OVS_PORT_DOWN,1424
SWITCH_DOWN,1355
NODE_HIGH_CPU_UTILIZATION,1293
K8S_FLUENT_BIT_EXPORTER_COLLECT_ERROR,1268
NODE_EXPORTER_COLLECT_ERROR,1213
SNMP_EXPORTER_COLLECT_ERROR,1151
DISK_ERROR,523
HARBOR_EXPORTER_COLLECT_ERROR,340
POWER_ERROR,335
SWITCH_SNMP_EXPORTER_COLLECT_ERROR,304
NOVA_AGENT_DOWN,300
HARBOR_DOWN,276
SNMP_SWITCH_INTERFACE_LINK_STATUS_ERROR,239
NEUTRON_AGENT_DOWN,237
FLUENT_BIT_EXPORTER_COLLECT_ERROR,232
NODE_HIGH_DISK_IO_UTILIZATION,174
DOCKER_EXPORTER_COLLECT_ERROR,168
LIBVIRT_EXPORTER_COLLECT_ERROR,163
OVS_EXPORTER_COLLECT_ERROR,162
NODE_LOW_DISK_SPACE,161
PROMETHEUS_RULE_EVALUATION_FAILED,143
MANO_SUPPORTING_SERVICE_DOWN,95
RABBITMQ_HIGH_QUEUE_LENGTH,85
PROMETHEUS_EXPORTER_COLLECT_ERROR,83
MANAGER_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,83
OVS_DOWN,80
LOGGER_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,75
CNFM_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,72
PNFM_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,71
DEALER_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,69
MONITOR_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,68
VNFM_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,66
VMALERT_DOWN,66
VMSTORAGE_DOWN,66
LIBVIRT_DOWN,66
RO_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,63
NFVO_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,60
VMSTORAGE_EXPORTER_COLLECT_ERROR,55
VMALERT_EXPORTER_COLLECT_ERROR,55
VMINSERT_DOWN,54
HA_PROXY_EXPORTER_COLLECT_ERROR,50
VPROM_EXPORTER_COLLECT_ERROR,48
VMSELECT_EXPORTER_COLLECT_ERROR,46
VMINSERT_EXPORTER_COLLECT_ERROR,46
KEEP_ALIVED_EXPORTER_COLLECT_ERROR,46
MONGODB_DOWN,42
K8S_KUBELET_EXPORTER_COLLECT_ERROR,42
VMSELECT_DOWN,42
K8S_API_SERVER_EXPORTER_COLLECT_ERROR,41
HARBOR_REGISTRY_COLLECT_ERROR,41
K8S_KUBE_SCHEDULER_EXPORTER_COLLECT_ERROR,40
K8S_CONTROLLER_MANAGER_EXPORTER_COLLECT_ERROR,40
KUBE_SCHEDULER_DOWN,40
HARBOR_CORE_COLLECT_ERROR,38
K8S_KUBEPROXY_EXPORTER_COLLECT_ERROR,38
K8S_ETCD_EXPORTER_COLLECT_ERROR,38
HA_PROXY_DOWN,30
LOAD_DAEMON_TASK_ERROR,28
NOVA_PLACEMENT_API_DOWN,27
HARBOR_ARTIFACT_UNSYNCHRONIZE,27
NOVA_API_DOWN,25
GLANCE_API_DOWN,25
VIM_SUPPORTING_SERVICE_DOWN,22
ELASTIC_EXPORTER_COLLECT_ERROR,21
FAN_ERROR,21
NOVA_METADATA_DOWN,21
CONTROLLER_MANAGER_DOWN,21
MONGO_PRIMARY_DOWN,20
KEYSTONE_DOWN,20
API_SERVER_DOWN,19
NEUTRON_SERVER_DOWN,19
MONITOR_PROMETHEUS_APPLY_FILE_ERROR,19
ETCD_DOWN,19
ES_CLUSTER_YELLOW,17
NOVA_NOVNCPROXY_DOWN,16
HORIZON_DOWN,15
ELASTIC_SEARCH_DOWN,14
VPROXY_EXPORTER_COLLECT_ERROR,14
VTRAP_EXPORTER_COLLECT_ERROR,13
KUBE_PROXY_DOWN,12
DEVICE_ERROR,12
MONGODB_EXPORTER_COLLECT_ERROR,12
KUBELET_DOWN,11
OVS_HIGH_INTERFACE_RX_ERRORS,9
MYSQL_EXPORTER_COLLECT_ERROR,9
OPENSTACK_EXPORTER_COLLECT_ERROR,9
RABBITMQ_EXPORTER_COLLECT_ERROR,9
RABBITMQ_DOWN,8
RELICATION_LAG,8
DASHBOARD_BE_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,8
SNMP_SWITCH_TIMEOUT,8
KEEP_ALIVED_PROXY_DOWN,7
DOCKER_DOWN,7
KUBE_SCHEDULER_HIGH_POD_SCHEDULE_DURATION,7
MYSQL_DOWN,6
NODE_HIGH_DISK_IO_LATENCY,5
OPENSTACK_CONF_CHANGE,3
HARBOR_REPO_UNSYNCHRONIZE,3
GRANT_MICRO_SERVICE_NOT_ENOUGH_INSTANCE,3
NODE_HIGH_INODE_UTILIZATION,2
NODE_HIGH_LOAD_AVERAGE_TEST_PAT,2
NODE_HIGH_TEMP_CELCIUS,2
CONTROLLER_MANAGER_HIGH_WORKQUEUE_MESSAGE_IN_QUEUE_DURATION,1
VIP_HA_PROXY_EXPORTER_COLLECT_ERROR,1
ES_HEAP_USAGE_HIGH,1
